ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
731477357566495,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-15,2021-03-16,2021-03-14,VVD,2000,2999,0,99,https://www.facebook.com/ads/library/?id=731477357566495
448303696225859,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-15,2021-03-16,2021-03-14,VVD,6000,6999,0,99,https://www.facebook.com/ads/library/?id=448303696225859
499483657881985,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-15,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=499483657881985
1322417518138024,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-15,2021-03-17,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=1322417518138024
355716628934279,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-15,2021-03-17,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=355716628934279
2839327779622544,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-15,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=2839327779622544
464097651398246,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,4000,4999,0,99,https://www.facebook.com/ads/library/?id=464097651398246
225334682668658,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=225334682668658
1357350601302802,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=1357350601302802
255565966157496,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,6000,6999,100,199,https://www.facebook.com/ads/library/?id=255565966157496
