ad_id,region,percentage
268986128237978,Limburg,0.071375
268986128237978,North Brabant,0.134327
268986128237978,Noord-Holland,0.123565
268986128237978,Utrecht,0.061718
268986128237978,Zeeland,0.027053
268986128237978,Zuid-Holland,0.181763
268986128237978,Overijssel,0.099055
268986128237978,Flevoland,0.031329
270844514614259,Gelderland,0.117337
270844514614259,Groningen,0.032567
270844514614259,North Brabant,0.134579
270844514614259,Zuid-Holland,0.246648
270844514614259,Flevoland,0.019636
270844514614259,Drenthe,0.018199
270844514614259,Friesland,0.034004
270844514614259,Limburg,0.036398
270844514614259,Noord-Holland,0.193008
270844514614259,Utrecht,0.100575
270844514614259,Zeeland,0.01772
270844514614259,Overijssel,0.04933
462830734868834,North Brabant,0.188559
462830734868834,Zuid-Holland,0.209746
462830734868834,Drenthe,0.033898
462830734868834,Friesland,0.040254
462830734868834,Gelderland,0.074153
462830734868834,Groningen,0.029661
462830734868834,Limburg,0.050847
462830734868834,Noord-Holland,0.108051
462830734868834,Utrecht,0.118644
462830734868834,Zeeland,0.03178
462830734868834,Overijssel,0.080508
462830734868834,Flevoland,0.033898
884143815773332,Limburg,0.067669
884143815773332,North Brabant,0.172932
884143815773332,Noord-Holland,0.112782
884143815773332,Zuid-Holland,0.203008
884143815773332,Flevoland,0.030075
884143815773332,Drenthe,0.022556
884143815773332,Friesland,0.06391
884143815773332,Gelderland,0.116541
884143815773332,Groningen,0.018797
884143815773332,Utrecht,0.06391
884143815773332,Zeeland,0.037594
884143815773332,Overijssel,0.090226
899963810794973,Drenthe,0.020751
899963810794973,Friesland,0.046997
899963810794973,Gelderland,0.126511
899963810794973,Groningen,0.034456
899963810794973,North Brabant,0.148038
899963810794973,Noord-Holland,0.136014
899963810794973,Utrecht,0.065486
899963810794973,Zeeland,0.025987
899963810794973,Zuid-Holland,0.235439
899963810794973,Overijssel,0.075247
899963810794973,Flevoland,0.022561
899963810794973,Limburg,0.061607
899963810794973,Unknown,0.000905
918496832336938,Drenthe,0.003831
918496832336938,Groningen,0.053292
918496832336938,North Brabant,0.164054
918496832336938,Noord-Holland,0.248346
918496832336938,Utrecht,0.110066
918496832336938,Zuid-Holland,0.218739
918496832336938,Overijssel,0.032045
918496832336938,Gelderland,0.093347
918496832336938,Friesland,0.010449
918496832336938,Limburg,0.033438
918496832336938,Zeeland,0.013584
918496832336938,Flevoland,0.018809
280423150320002,Gelderland,0.092175
280423150320002,Groningen,0.041231
280423150320002,Limburg,0.02309
280423150320002,North Brabant,0.168774
280423150320002,Noord-Holland,0.26773
280423150320002,Utrecht,0.109951
280423150320002,Zuid-Holland,0.216603
280423150320002,Flevoland,0.016493
280423150320002,Overijssel,0.034268
280423150320002,Drenthe,0.004215
280423150320002,Friesland,0.012644
280423150320002,Zeeland,0.012828
828647294665957,Drenthe,0.02115
828647294665957,Friesland,0.045838
828647294665957,Gelderland,0.136836
828647294665957,Groningen,0.033343
828647294665957,Limburg,0.061644
828647294665957,North Brabant,0.137588
828647294665957,Noord-Holland,0.147298
828647294665957,Utrecht,0.072482
828647294665957,Zeeland,0.022505
828647294665957,Zuid-Holland,0.221587
828647294665957,Overijssel,0.073762
828647294665957,Flevoland,0.025516
828647294665957,Unknown,0.000452
349047499753770,Friesland,0.015043
349047499753770,Gelderland,0.116252
349047499753770,Groningen,0.066547
349047499753770,Limburg,0.032538
349047499753770,North Brabant,0.139797
349047499753770,Noord-Holland,0.226946
349047499753770,Utrecht,0.110366
349047499753770,Zuid-Holland,0.206017
349047499753770,Overijssel,0.045291
349047499753770,Flevoland,0.018803
349047499753770,Drenthe,0.006213
349047499753770,Zeeland,0.016187
837475360137165,Drenthe,0.043325
837475360137165,Friesland,0.063336
837475360137165,Gelderland,0.1506
837475360137165,Groningen,0.042393
837475360137165,Limburg,0.085425
837475360137165,North Brabant,0.132507
837475360137165,Noord-Holland,0.099121
837475360137165,Utrecht,0.044578
837475360137165,Zeeland,0.02939
837475360137165,Zuid-Holland,0.192246
837475360137165,Overijssel,0.09539
837475360137165,Flevoland,0.021689
1209102796201317,Drenthe,0.027681
1209102796201317,Friesland,0.042854
1209102796201317,Gelderland,0.132458
1209102796201317,Groningen,0.055362
1209102796201317,Limburg,0.063871
