ad_id,region,percentage
434618684487750,Zuid-Holland,0.16959
434618684487750,Overijssel,0.094606
434618684487750,Flevoland,0.024805
405121197940914,Drenthe,0.017779
405121197940914,Friesland,0.029568
405121197940914,Gelderland,0.084163
405121197940914,Groningen,0.039327
405121197940914,Limburg,0.049957
405121197940914,North Brabant,0.10687
405121197940914,Noord-Holland,0.209489
405121197940914,Utrecht,0.067543
405121197940914,Zeeland,0.017635
405121197940914,Zuid-Holland,0.316987
405121197940914,Overijssel,0.036525
405121197940914,Flevoland,0.024157
159004802709228,Drenthe,0.011745
159004802709228,Friesland,0.021324
159004802709228,Gelderland,0.067011
159004802709228,Groningen,0.03725
159004802709228,Limburg,0.0382
159004802709228,North Brabant,0.07602
159004802709228,Noord-Holland,0.292333
159004802709228,Utrecht,0.074727
159004802709228,Zeeland,0.012733
159004802709228,Zuid-Holland,0.321981
159004802709228,Overijssel,0.025657
159004802709228,Flevoland,0.021019
498410164668684,Drenthe,0.011856
498410164668684,Friesland,0.02271
498410164668684,Gelderland,0.067008
498410164668684,Groningen,0.026195
498410164668684,Limburg,0.044939
498410164668684,North Brabant,0.096367
498410164668684,Noord-Holland,0.224857
498410164668684,Utrecht,0.065446
498410164668684,Zeeland,0.014539
498410164668684,Zuid-Holland,0.368366
498410164668684,Overijssel,0.031361
498410164668684,Flevoland,0.026355
753787465272629,Drenthe,0.009181
753787465272629,Friesland,0.014472
753787465272629,Gelderland,0.047848
753787465272629,Groningen,0.024053
753787465272629,Limburg,0.032633
753787465272629,North Brabant,0.067496
753787465272629,Noord-Holland,0.309624
753787465272629,Utrecht,0.06292
753787465272629,Zeeland,0.010782
753787465272629,Zuid-Holland,0.375261
753787465272629,Overijssel,0.019419
753787465272629,Flevoland,0.026312
1140131763088820,Drenthe,0.005087
1140131763088820,Friesland,0.010342
1140131763088820,Gelderland,0.042776
1140131763088820,Groningen,0.023185
1140131763088820,Limburg,0.024552
1140131763088820,North Brabant,0.060812
1140131763088820,Noord-Holland,0.348622
1140131763088820,Utrecht,0.077838
1140131763088820,Zeeland,0.007462
1140131763088820,Zuid-Holland,0.357934
1140131763088820,Overijssel,0.016879
1140131763088820,Flevoland,0.02451
2620544708243458,Drenthe,0.061938
2620544708243458,Friesland,0.061991
2620544708243458,Gelderland,0.123427
2620544708243458,Groningen,0.053479
2620544708243458,Limburg,0.082954
2620544708243458,North Brabant,0.163556
2620544708243458,Noord-Holland,0.10857
2620544708243458,Utrecht,0.046791
2620544708243458,Zeeland,0.027519
2620544708243458,Zuid-Holland,0.176827
2620544708243458,Overijssel,0.075473
2620544708243458,Flevoland,0.017474
1054040385082742,Drenthe,0.060984
1054040385082742,Friesland,0.061938
1054040385082742,Gelderland,0.119124
1054040385082742,Groningen,0.05488
1054040385082742,Limburg,0.082745
1054040385082742,North Brabant,0.158503
1054040385082742,Noord-Holland,0.11524
1054040385082742,Utrecht,0.047979
1054040385082742,Zeeland,0.027431
1054040385082742,Zuid-Holland,0.177229
